zip_code,city_or_po_name,state,ZCTA
00501,Holtsville,NY,11742
00544,Holtsville,NY,11742
00601,Adjuntas,PR,00601
00602,Aguada,PR,00602
00603,Aguadilla,PR,00603
00604,Aguadilla,PR,00603
00605,Aguadilla,PR,00603
00606,Maricao,PR,00606
00610,Anasco,PR,00610
00611,Angeles,PR,00641
00612,Arecibo,PR,00612
00613,Arecibo,PR,00612
00614,Arecibo,PR,00612
00616,Bajadero,PR,00616
00617,Barceloneta,PR,00617
00622,Boqueron,PR,00622
00623,Cabo Rojo,PR,00623
00624,Penuelas,PR,00624
00627,Camuy,PR,00627
00631,Castaner,PR,00631
00636,Rosario,PR,00680
00637,Sabana Grande,PR,00637
00638,Ciales,PR,00638
00641,Utuado,PR,00641
00646,Dorado,PR,00646
00647,Ensenada,PR,00647
00650,Florida,PR,00650
00652,Garrochales,PR,00652
00653,Guanica,PR,00653
00656,Guayanilla,PR,00656
00659,Hatillo,PR,00659
00660,Hormigueros,PR,00660
00662,Isabela,PR,00662
00664,Jayuya,PR,00664
00667,Lajas,PR,00667
00669,Lares,PR,00669
00670,Las Marias,PR,00670
00674,Manati,PR,00674
00676,Moca,PR,00676
00677,Rincon,PR,00677
00678,Quebradillas,PR,00678
00680,Mayaguez,PR,00680
00681,Mayaguez,PR,00680
00682,Mayaguez,PR,00682
00683,San German,PR,00683
00685,San Sebastian,PR,00685
00687,Morovis,PR,00687
00688,Sabana Hoyos,PR,00688
00690,San Antonio,PR,00690
00692,Vega Alta,PR,00692
00693,Vega Baja,PR,00693
00694,Vega Baja,PR,00694
00698,Yauco,PR,00698
00703,Aguas Buenas,PR,00703
00704,Aguirre,PR,00704
00705,Aibonito,PR,00705
00707,Maunabo,PR,00707
00714,Arroyo,PR,00714
00715,Mercedita,PR,00715
00716,Ponce,PR,00716
00717,Ponce,PR,00717
00718,Naguabo,PR,00718
00719,Naranjito,PR,00719
00720,Orocovis,PR,00720
00721,Palmer,PR,00745
00723,Patillas,PR,00723
00725,Caguas,PR,00725
00726,Caguas,PR,00725
00727,Caguas,PR,00727
00728,Ponce,PR,00728
00729,Canovanas,PR,00729
00730,Ponce,PR,00730
00731,Ponce,PR,00731
00732,Ponce,PR,00730
00733,Ponce,PR,00730
00734,Ponce,PR,00730
00735,Ceiba,PR,00735
00736,Cayey,PR,00736
00737,Cayey,PR,00736
00738,Fajardo,PR,00738
00739,Cidra,PR,00739
00740,Puerto Real,PR,00740
00741,Punta Santiago,PR,00741
00742,Roosevelt Roads,PR,00742
00744,Rio Blanco,PR,00718
00745,Rio Grande,PR,00745
00751,Salinas,PR,00751
00754,San Lorenzo,PR,00754
00757,Santa Isabel,PR,00757
00765,Vieques,PR,00765
00766,Villalba,PR,00766
00767,Yabucoa,PR,00767
00769,Coamo,PR,00769
00771,Las Piedras,PR,00771
00772,Loiza,PR,00772
00773,Luquillo,PR,00773
00775,Culebra,PR,00775
00777,Juncos,PR,00777
00778,Gurabo,PR,00778
00780,Coto Laurel,PR,00780
00782,Comerio,PR,00782
00783,Corozal,PR,00783
00784,Guayama,PR,00784
00785,Guayama,PR,00784
00786,La Plata,PR,00786
00791,Humacao,PR,00791
00792,Humacao,PR,00791
00794,Barranquitas,PR,00794
00795,Juana Diaz,PR,00795
00801,St Thomas,VI,00801
00802,St Thomas,VI,00802
00803,St Thomas,VI,00802
00804,St Thomas,VI,00802
00805,St Thomas,VI,00802
00820,Christiansted,VI,00820
00821,Christiansted,VI,00820
00822,Christiansted,VI,00820
00823,Christiansted,VI,00823
00824,Christiansted,VI,00824
00830,St John,VI,00830
00831,St John,VI,00831
00840,Frederiksted,VI,00840
00841,Frederiksted,VI,00841
00850,Kingshill,VI,00850
00851,Kingshill,VI,00851
00901,San Juan,PR,00901
00902,San Juan,PR,00901
00906,San Juan,PR,00906
00907,San Juan,PR,00907
00908,San Juan,PR,00907
00909,San Juan,PR,00909
00910,San Juan,PR,00909
00911,San Juan,PR,00911
00912,San Juan,PR,00912
00913,San Juan,PR,00913
00914,San Juan,PR,00911
00915,San Juan,PR,00915
00916,San Juan,PR,00915
00917,San Juan,PR,00917
00918,San Juan,PR,00918
00919,San Juan,PR,00918
00920,San Juan,PR,00920
00921,San Juan,PR,00921
00922,San Juan,PR,00922
00923,San Juan,PR,00923
00924,San Juan,PR,00924
00925,San Juan,PR,00925
00926,San Juan,PR,00926
00927,San Juan,PR,00927
00928,San Juan,PR,00925
00929,San Juan,PR,00924
00930,San Juan,PR,00923
00931,San Juan,PR,00925
00933,San Juan,PR,00918
00934,Fort Buchanan,PR,00934
00935,San Juan,PR,00936
00936,San Juan,PR,00936
00937,San Juan,PR,00937
00939,San Juan,PR,00918
00940,San Juan,PR,00909
00949,Toa Baja,PR,00949
00950,Toa Baja,PR,00950
00951,Toa Baja,PR,00951
00952,Sabana Seca,PR,00952
00953,Toa Alta,PR,00953
00954,Toa Alta,PR,00953
00955,San Juan,PR,00921
00956,Bayamon,PR,00956
00957,Bayamon,PR,00957
00958,Bayamon,PR,00957
00959,Bayamon,PR,00959
00960,Bayamon,PR,00960
00961,Bayamon,PR,00961
00962,Catano,PR,00962
00963,Catano,PR,00962
00965,Guaynabo,PR,00965
00966,Guaynabo,PR,00966
00968,Guaynabo,PR,00968
00969,Guaynabo,PR,00969
00970,Guaynabo,PR,00969
00971,Guaynabo,PR,00971
00975,San Juan,PR,00917
00976,Trujillo Alto,PR,00976
00977,Trujillo Alto,PR,00965
00978,Saint Just,PR,00976
00979,Carolina,PR,00979
00981,Carolina,PR,00981
00982,Carolina,PR,00982
00983,Carolina,PR,00983
00984,Carolina,PR,00983
00985,Carolina,PR,00985
00986,Carolina,PR,00985
00987,Carolina,PR,00987
00988,Carolina,PR,00988
01001,Agawam,MA,01001
01002,Amherst,MA,01002
01003,Amherst,MA,01003
01004,Amherst,MA,01002
01005,Barre,MA,01005
01007,Belchertown,MA,01007
01008,Blandford,MA,01008
01009,Bondsville,MA,01009
01010,Brimfield,MA,01010
01011,Chester,MA,01011
01012,Chesterfield,MA,01012
01013,Chicopee,MA,01013
01014,Chicopee,MA,01013
01020,Chicopee,MA,01020
01021,Chicopee,MA,01020
01022,Chicopee,MA,01022
01026,Cummington,MA,01026
01027,Easthampton,MA,01027
01028,East Longmeadow,MA,01028
01029,East Otis,MA,01029
01030,Feeding Hills,MA,01030
01031,Gilbertville,MA,01031
01032,Goshen,MA,01032
01033,Granby,MA,01033
01034,Granville,MA,01034
01035,Hadley,MA,01035
01036,Hampden,MA,01036
01037,Hardwick,MA,01037
01038,Hatfield,MA,01038
01039,Haydenville,MA,01039
01040,Holyoke,MA,01040
01041,Holyoke,MA,01040
01050,Huntington,MA,01050
01053,Leeds,MA,01053
01054,Leverett,MA,01054
01056,Ludlow,MA,01056
01057,Monson,MA,01057
01059,North Amherst,MA,01002
01060,Northampton,MA,01060
01061,Northampton,MA,01060
01062,Florence,MA,01062
01063,Northampton,MA,01063
01066,North Hatfield,MA,01066
01068,Oakham,MA,01068
01069,Palmer,MA,01069
01070,Plainfield,MA,01070
01071,Russell,MA,01071
01072,Shutesbury,MA,01072
01073,Southampton,MA,01073
01074,South Barre,MA,01074
01075,South Hadley,MA,01075
01077,Southwick,MA,01077
01079,Thorndike,MA,01079
01080,Three Rivers,MA,01080
01081,Wales,MA,01081
01082,Ware,MA,01082
01083,Warren,MA,01083
01084,West Chesterfield,MA,01084
01085,Westfield,MA,01085
01086,Westfield,MA,01086
01088,West Hatfield,MA,01088
01089,West Springfield,MA,01089
01090,West Springfield,MA,01089
01092,West Warren,MA,01092
01093,Whately,MA,01093
01094,Wheelwright,MA,01094
01095,Wilbraham,MA,01095
01096,Williamsburg,MA,01096
01097,Woronoco,MA,01097
01098,Worthington,MA,01098
01101,Springfield,MA,01104
01102,Springfield,MA,01104
01103,Springfield,MA,01103
01104,Springfield,MA,01104
01105,Springfield,MA,01105
01106,Longmeadow,MA,01106
01107,Springfield,MA,01107
01108,Springfield,MA,01108
01109,Springfield,MA,01109
01111,Springfield,MA,01109
01115,Springfield,MA,01103
