zip_code,city,state
70301,Thibodaux,LA
37863,Pigeon Forge,TN
30260,Morrow,GA
48204,Detroit,MI
48235,Detroit,MI
92056,Oceanside,CA
11901,Riverhead,NY
79756,Monahans,TX
75147,Mabank,TX
77459,Missouri City,TX
44319,Akron,OH
76448,Eastland,TX
91702,Azusa,CA
29483,Summerville,SC
43616,Oregon,OH
90045,Los Angeles,CA
39208,Pearl,MS
49512,Grand Rapids,MI
46176,Shelbyville,IN
11207,Brooklyn,NY
30904,Augusta,GA
48227,Detroit,MI
02474,Arlington,MA
12304,Schenectady,NY
12401,Kingston,NY
10036,New York,NY
10002,New York,NY
11553,Uniondale,NY
11753,Jericho,NY
12205,Albany,NY
10452,Bronx,NY
12303,Schenectady,NY
14220,Buffalo,NY
14150,Tonawanda,NY
01801,Woburn,MA
01588,Whitinsville,MA
01887,Wilmington,MA
01570,Webster,MA
02451,Waltham,MA
01469,Townsend,MA
02081,Walpole,MA
02780,Taunton,MA
01104,Springfield,MA
01105,Springfield,MA
01107,Springfield,MA
01118,Springfield,MA
01129,Springfield,MA
01562,Spencer,MA
33174,Miami,FL
75098,Wylie,TX
75703,Tyler,TX
65203,Columbia,MO
31401,Savannah,GA
30062,Marietta,GA
30253,McDonough,GA
30655,Monroe,GA
30907,Augusta,GA
31061,Milledgeville,GA
30052,Loganville,GA
30038,Lithonia,GA
01923,Danvers,MA
01119,Springfield,MA
44266,Ravenna,OH
76016,Arlington,TX
02703,Attleboro,MA
92019,El Cajon,CA
92020,El Cajon,CA
19090,Willow Grove,PA
92335,Fontana,CA
91316,Encino,CA
92024,Encinitas,CA
90241,Downey,CA
90242,Downey,CA
92109,San Diego,CA
77433,Cypress,TX
94523,Pleasant Hill,CA
94546,Castro Valley,CA
95129,San Jose,CA
90220,Compton,CA
91915,Chula Vista,CA
95926,Chico,CA
93420,Arroyo Grande,CA
92260,Palm Desert,CA
91304,Canoga Park,CA
95010,Capitola,CA
93010,Camarillo,CA
92311,Barstow,CA
91706,Baldwin Park,CA
91744,La Puente,CA
93514,Bishop,CA
31709,Americus,GA
29621,Anderson,SC
91803,Alhambra,CA
30909,Augusta,GA
62447,Neoga,IL
62448,Newton,IL
91311,Chatsworth,CA
30125,Cedartown,GA
06033,Glastonbury,CT
42718,Campbellsville,KY
94534,Fairfield,CA
41101,Ashland,KY
41102,Ashland,KY
34950,Fort Pierce,FL
34613,Brooksville,FL
33455,Hobe Sound,FL
32566,Navarre,FL
33013,Hialeah,FL
33016,Hialeah,FL
33844,Haines City,FL
32092,Saint Augustine,FL
32725,Deltona,FL
32435,DeFuniak Springs,FL
33928,Estero,FL
33511,Brandon,FL
33430,Belle Glade,FL
33825,Avon Park,FL
33873,Wauchula,FL
32712,Apopka,FL
31408,Savannah,GA
67005,Arkansas City,KS
67801,Dodge City,KS
50021,Ankeny,IA
96732,Kahului,HI
